区域,品目名称,公告名称,发布日期,详细链接
奉化区,林业有害生,宁波众昕工程管理有限公司关于2025年溪口镇松材线虫病防治项目的公开招标公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161100051912340190479912960
奉化区,其他保险服,宁波敬信项目管理咨询有限公司关于宁波市奉化区公路与运输管理中心2025年-2028年公众责任险保险服务采购项目的公开招标公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504160930051912317542639210496
鄞州区,市容管理服,宁波高专建设监理有限公司关于鄞州区横溪镇市容管理服务项目的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504152000051912113697682231296
海曙区,装修工程,宁波中基国际招标有限公司关于宁波市海曙区西门望春社区卫生服务中心望春中心2到3楼改造提升工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151815121912087302000218112
市本级,装修工程,宁波大学附属第一医院月湖院区3号楼7楼西侧病房改造工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800191912083559213043712
北仑区,旅游服务,浙江诚源工程管理咨询有限公司关于2025年大榭街道工会疗休养项目的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800161912083543706701824
北仑区,其他建筑工,宁波至同项目管理有限公司关于G329 沿线(临港一路一盟光路)植绿补绿工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800131912083532214308864
市本级,其他专业技,浙江中创招投标有限公司关于翠屏山东门户全域国土空间综合整治片区策划研究的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800071912083506419339264
鄞州区,医疗设备维,宁波中基国际招标有限公司关于宁波大学附属人民医院磁共振（康达）保修服务采购项目的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151730091912075964909752320
市本级,其他机械设,宁波名诚招标代理有限公司关于宁波工程学院安全作业及培训系统设备采购项目-重发的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151715091912072190233284608
奉化区,体育组织服,宁波敬信项目管理咨询有限公司关于浙江省第二届科技运动会执行承办项目的竞争性磋商公告（重发）,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151715171912072222479093760
慈溪市,市政公用设,慈溪永真工程管理有限公司关于慈溪滨海经济开发区2025年度道路路灯设施管理和维护服务项目的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700211912068467511660544
北仑区,其他建筑工,宁波至同项目管理有限公司关于临港一路(同盟村段)整治提升工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700181912068453490102272
前湾新区,其他市政公,（编号：ADCG202513）新建南通至宁波高速铁路（前湾新区段）华兴村拆迁安置区建设工程-市政配套工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700241912068480081989632
鄞州区,其他城市交,浙江中基正采管理咨询有限公司关于东钱湖2025—2027年度雨污水管道及泵站日常养护服务项目的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700101912068418673184768
奉化区,林业有害生,宁波众昕工程管理有限公司关于2025年溪口镇松材线虫病防治项目的公开招标公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161100051912340190479912960
奉化区,其他保险服,宁波敬信项目管理咨询有限公司关于宁波市奉化区公路与运输管理中心2025年-2028年公众责任险保险服务采购项目的公开招标公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504160930051912317542639210496
鄞州区,市容管理服,宁波高专建设监理有限公司关于鄞州区横溪镇市容管理服务项目的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504152000051912113697682231296
海曙区,装修工程,宁波中基国际招标有限公司关于宁波市海曙区西门望春社区卫生服务中心望春中心2到3楼改造提升工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151815121912087302000218112
市本级,装修工程,宁波大学附属第一医院月湖院区3号楼7楼西侧病房改造工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800191912083559213043712
北仑区,旅游服务,浙江诚源工程管理咨询有限公司关于2025年大榭街道工会疗休养项目的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800161912083543706701824
北仑区,其他建筑工,宁波至同项目管理有限公司关于G329 沿线(临港一路一盟光路)植绿补绿工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800131912083532214308864
市本级,其他专业技,浙江中创招投标有限公司关于翠屏山东门户全域国土空间综合整治片区策划研究的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800071912083506419339264
鄞州区,医疗设备维,宁波中基国际招标有限公司关于宁波大学附属人民医院磁共振（康达）保修服务采购项目的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151730091912075964909752320
市本级,其他机械设,宁波名诚招标代理有限公司关于宁波工程学院安全作业及培训系统设备采购项目-重发的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151715091912072190233284608
奉化区,体育组织服,宁波敬信项目管理咨询有限公司关于浙江省第二届科技运动会执行承办项目的竞争性磋商公告（重发）,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151715171912072222479093760
慈溪市,市政公用设,慈溪永真工程管理有限公司关于慈溪滨海经济开发区2025年度道路路灯设施管理和维护服务项目的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700211912068467511660544
北仑区,其他建筑工,宁波至同项目管理有限公司关于临港一路(同盟村段)整治提升工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700181912068453490102272
前湾新区,其他市政公,（编号：ADCG202513）新建南通至宁波高速铁路（前湾新区段）华兴村拆迁安置区建设工程-市政配套工程的竞争性磋商公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700241912068480081989632
鄞州区,其他城市交,浙江中基正采管理咨询有限公司关于东钱湖2025—2027年度雨污水管道及泵站日常养护服务项目的公开招标公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700101912068418673184768
