区域,品目名称,公告名称,发布日期,详细链接
鄞州区,旅游服务,宁波名诚招标代理有限公司关于宁波市公安局鄞州分局辅警疗休养项目中标结果公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161315071912374171632013312
余姚市,水资源保护,宁波求真工程设计咨询有限公司关于2025年度一大三中水库除控藻作业采购项目中标(成交)结果公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161200121912355320106192896
鄞州区,水库管理服,宁波瑞林招标有限公司关于鄞州区塘溪镇水库山塘标准化管理项目中标结果公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161100091912340206502154240
市本级,餐饮服务,宁波建兴招标有限公司关于医院食堂人员服务管理外包项目中标(成交)结果公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161015071912328872062488576
余姚市,养老服务,宁波招采工程咨询有限公司关于余姚市人民政府朗霞街道办事处20241108朗霞街道居家养老服务中心第三方运营项目中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504152015061912117478276861952
市本级,病房护理及,浙江省成套招标代理有限公司关于宁波市医疗中心李惠利医院东部院区原地改扩建（检测基地与健康保健用房建设）项目医疗气体采购项目的中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151930091912106162631872512
市本级,测绘服务,浙江中创招投标有限公司关于宁波市空间定位基准技术服务（2025）中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151800281912083594881404928
海曙区,垃圾处理服,中冠工程管理咨询有限公司关于（重发）2025-2027年度海曙区高桥镇道路保洁和绿化养护项目中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700581912068619379019776
鄞州区,其他城镇公,宁波瑞林招标有限公司关于东钱湖镇病媒生物消杀服务项目中标结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700531912068598709489664
鄞州区,其他专业技,世明建设项目管理有限公司关于明楼街道第八批旧改类未来社区创建项目信息项目集成中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700491912068583874236416
市本级,测绘服务,宁波弘正工程咨询有限公司关于2025年自然资源执法专项行动技术服务中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700461912068569626185728
市本级,警车,宁波市科翔工程项目管理有限公司关于宁波市公安局高速公路交通警察支队特种专业技术车辆采购中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700371912068534503084032
鄞州区,其他医院服,宁波中基国际招标有限公司关于宁波市眼科医院2025年度国际远程会诊服务项目（第二次）中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151700411912068550084923392
前湾新区,其他体育设,宁波弘正工程咨询有限公司关于庵东中心学校体育设施设备采购项目中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151630151912060891361316864
余姚市,行业规划服,余姚市星凯工程咨询有限公司关于余姚市综合交通运输发展“十五五”规划中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151615451912057242308448256
鄞州区,旅游服务,宁波名诚招标代理有限公司关于宁波市公安局鄞州分局辅警疗休养项目中标结果公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161315071912374171632013312
余姚市,水资源保护,宁波求真工程设计咨询有限公司关于2025年度一大三中水库除控藻作业采购项目中标(成交)结果公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161200121912355320106192896
鄞州区,水库管理服,宁波瑞林招标有限公司关于鄞州区塘溪镇水库山塘标准化管理项目中标结果公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161100091912340206502154240
市本级,餐饮服务,宁波建兴招标有限公司关于医院食堂人员服务管理外包项目中标(成交)结果公告,2025-04-16,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504161015071912328872062488576
余姚市,养老服务,宁波招采工程咨询有限公司关于余姚市人民政府朗霞街道办事处20241108朗霞街道居家养老服务中心第三方运营项目中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504152015061912117478276861952
市本级,病房护理及,浙江省成套招标代理有限公司关于宁波市医疗中心李惠利医院东部院区原地改扩建（检测基地与健康保健用房建设）项目医疗气体采购项目的中标(成交)结果公告,2025-04-15,https://zfcg.czj.ningbo.gov.cnzcyNotice_view.aspx?Id=202504151930091912106162631872512
